(), ()
(pair 1 (pair 2 ())), (pair 1 (pair 2 ()))
(pair 1 ()), (pair 1 ())
(pair (pair 1 2) ()), (pair (pair 1 2) ())


(list? ()), true
(list? (pair 1 (pair 2 ()))), true
(list? (pair 1 ())), true
(list? (pair (pair 1 2) ())), true

(list? (pair 1 (pair 2 3))), false
(list? (pair (pair 1 2) (+ 1 2))), false
(list? (pair () (pair 1 2))), false
(list? (pair 1 2)), false

(vector 3 3), [3 3 3]
(vector 2 (pair 1 2)), [(pair 1 2) (pair 1 2)]
(vector 1 true), [true]
(vector 1 (vector 2 2)), [[2 2]]
(vector 2 (pair 1 ())), [(pair 1 ()) (pair 1 ())]
(vector -2 2), error

(vector? (vector 3 3)), true
(vector? ()), false
(vector? 3), false
(vector? false), false
(vector? (pair 2 3)), false

(vector-length (vector 3 3)), 3
(vector-length (vector 2 (pair 1 2))), 2
(vector-length (vector 1 true)), 1
(vector-length (vector 1 (vector 2 2))), 1
(vector-length (vector 2 (pair 1 ()))), 2

(vector-length ()), error
(vector-length 3), error
(vector-length false), error
(vector-length (pair 2 3)), error

(vector-get (vector 3 3) 2), 3
(vector-get (vector 2 (pair 1 2)) 1), (pair 1 2)
(vector-get (vector 1 true) 0), true
(vector-get (vector 1 (vector 2 2)) 0), [2 2]
(vector-get (vector 2 (pair 1 ())) 0), (pair 1 ())

(vector-get () 1), error
(vector-get 3 2), error
(vector-get false 1), error
(vector-get (pair 2 3) 1), error
(vector-get (vector 3 3) -2), error
(vector-get (vector 3 3) 3), error

(vector-set (vector 3 3) 2 1), [3 3 1]
(vector-set (vector 2 (pair 1 2)) 1 (pair 3 4)), [(pair 1 2) (pair 3 4)]
(vector-set (vector 1 true) 0 false), [false]
(vector-set (vector 1 (vector 2 2)) 0 (vector 1 3)), [[3]]

(vector-set () 1 2), error
(vector-set (vector 3 3) -2 2), error
(vector-set (vector 3 3) 3 2), error

(vector-get (vector-set (vector 3 3) 2 1) 2), 1
